word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
loss function,1.8283624728602445e-05,2.0689423308187065e-05,0,4.64050043156654e-05,0.00073247999414016,0.0004942084942084942,0.0004940798644809515,0.0005739219972485505
graphical model,9.141812364301223e-06,0,4.655385116733782e-05,5.568600517879848e-05,0.000659231994726144,0.0004942084942084942,0.0006352455400469376,0.0004726416447929239
state space,0.0004022397440292538,0.0003827543312014607,0.0003538092688717674,0.0004269260397041217,0.00014649599882803202,0.000277992277992278,0.0002117485133489792,0.00016880058742604423
objective,0.00022168894983430466,0.0003336169508445164,0.0003119108028211634,0.0003271552804254411,0.00035708399714332804,0.00023166023166023165,0.00022057136807185332,0.00035448123359469293
experiment,0.00014169809164666896,0.0001241365398491224,0.00011638462791834455,0.0001392150129469962,0.00039370799685033603,0.0005482625482625483,0.0005029027192038256,0.00038824135107990175
power,0.0005507941949491487,0.00044999495695306866,0.0004864877446986802,0.00047333104401978707,9.155999926752e-05,5.4054054054054054e-05,0.0001058742566744896,0.00012660044056953318
monte carlo,0.00010970174837161468,0.00017586009811959005,6.517539163427294e-05,4.64050043156654e-05,0.000329615997363072,0.0006795366795366795,0.00035291418891496534,0.0005739219972485505
learning problem,0,1.0344711654093532e-05,2.7932310700402692e-05,9.28100086313308e-06,0.0005493599956051201,0.0006795366795366795,0.000599954121155441,0.00043888152730771503
reinforcement learning,8.2276311278711e-05,0.00013448125150321592,1.8621540466935126e-05,0.00014849601381012928,0.00029299199765606403,0.00043243243243243243,0.0004234970266979584,0.0007764827021598035
order of magnitude,4.11381556393555e-05,7.758533740570149e-05,4.189846605060404e-05,6.96075064734981e-05,0.000933911992528704,0.00018532818532818532,0.0005823084117096928,0.00035448123359469293
linear matrix inequality,0.0006444977716832363,0.0006517168342078925,0.0006284769907590605,0.0003201945297780913,0,0,0,0
robust,0.0003953833847560279,0.00031551370544985274,0.0003119108028211634,0.0003132337791307415,0.000192275998461792,0.0003088803088803089,0.0002117485133489792,0.00016880058742604423
numerical simulation,0.0004753742429436636,0.00043447788947192836,0.00045622774143991063,0.0006403890595561826,7.324799941401601e-05,0,3.5291418891496534e-05,0.00010128035245562654
loss,8.913267055193692e-05,8.275769323274826e-05,0.00010707385768487699,8.352900776819773e-05,0.000494423996044608,0.00043243243243243243,0.0003705598983607136,0.0005486019091346438
gradient descent,5.485087418580734e-05,5.172355827046766e-05,9.310770233467563e-06,0.00011137201035759696,0.00043948799648409605,0.0003088803088803089,0.0003176227700234688,0.0009115231721006389
training,1.8283624728602445e-05,7.75853374057015e-06,1.6293847908568236e-05,2.32025021578327e-05,0.0006775439945796481,0.00037065637065637064,0.0004234970266979584,0.0006583222909615726
simple,0.00022854530910753056,0.00020172187725482388,0.0001838877121109844,0.00022738452114676047,0.00035708399714332804,0.00026254826254826257,0.00035291418891496534,0.0003629212629659951
kernel,6.399268655010856e-05,4.913738035694428e-05,4.189846605060404e-05,8.352900776819773e-05,0.000741635994066912,0.0004478764478764479,0.0003793827530835877,0.0003629212629659951
complexity,0.000164552622557422,0.0001681015643790199,0.00011405693535997766,0.0001554567644574791,0.000311303997509568,0.00035521235521235523,0.0004234970266979584,0.000396681380451204
representation,0.00010970174837161468,0.00013448125150321592,0.00011638462791834455,9.513025884711408e-05,0.000448643996410848,0.00044015444015444013,0.00038820560780646187,0.00035448123359469293
random,0.00011427265455376528,0.00013189507358969254,0.0001256953981518121,0.00017169851596796198,0.000347927997216576,0.00043243243243243243,0.00041467417197508426,0.0003291611454807863
synthetic and real,1.3712718546451835e-05,0,1.3966155350201346e-05,0,0.00043948799648409605,0.0006023166023166023,0.0005823084117096928,0.00040512140982250616
equation,0.0005393669294937721,0.0004163746440772647,0.0005214031330741835,0.00044548804143038784,9.155999926752001e-06,3.088803088803089e-05,1.7645709445748267e-05,4.220014685651106e-05
gaussian process,3.656724945720489e-05,3.10341349622806e-05,2.7932310700402692e-05,8.352900776819773e-05,0.000329615997363072,0.000277992277992278,0.0008117026345044202,0.00040512140982250616
machine,4.799451491258142e-05,6.724062575160796e-05,6.052000651753916e-05,4.64050043156654e-05,0.00039370799685033603,0.00040154440154440156,0.0005558398475410703,0.0004135614391938084
stochastic gradient,1.8283624728602445e-05,1.0344711654093532e-05,1.8621540466935126e-05,5.568600517879848e-05,0.00021974399824204802,0.0002471042471042471,0.0005646627022639445,0.0008440029371302212
classification,1.1427265455376528e-05,7.75853374057015e-06,2.56046181420358e-05,1.624175151048289e-05,0.0007050119943599041,0.0003861003861003861,0.0004323198814208325,0.00038824135107990175
special case,0.00021940349674322935,0.00013448125150321592,0.00013966155350201345,0.00015777701467326237,0.000402863996777088,0.00043243243243243243,0.00024703993224047574,0.00023632082239646195
probability,0.00020569077819677752,0.0002146527668224408,0.00014431693861874723,0.00023434527179411028,0.00021974399824204802,0.0002548262548262548,0.00039702846252933597,0.0002954010279955774
multiple,0.00018283624728602444,0.00020948041099539403,0.00023509694839505597,0.0002018617687731445,0.000384551996923584,0.00021621621621621621,0.0002558627869633499,0.000278520969252973
prediction,8.456176436978632e-05,0.00010086093862741194,9.543539489304252e-05,0.0001090517601418137,0.00035708399714332804,0.0004478764478764479,0.0003440913341920912,0.0004220014685651106
sampling,0.00010741629528053936,0.00012155036193559899,0.00014664463117711413,0.0001786592666153118,0.00037539599699683204,0.00028571428571428574,0.00030879991530059466,0.0004304414979364128
markov chain,0.0001188435607359159,0.0004448226011260219,0.000148972323735481,0.00015777701467326237,7.324799941401601e-05,0.00040154440154440156,0.00017645709445748267,0.00040512140982250616
noise,0.0002445434807450577,0.00019396334351425373,0.00028863387723749445,0.00030395277826760837,0.000283835997729312,0.00019305019305019305,7.058283778299307e-05,0.00033760117485208846
optimal solution,0.00025597074620043424,0.00029999663796871244,0.0003165661879378972,0.0003805210353884563,0.00018311999853504,0.00015444015444015445,0.00028233135113197227,3.3760117485208846e-05
sample complexity,1.8283624728602445e-05,1.0344711654093532e-05,0,9.28100086313308e-06,0.00025636799794905604,0.0006795366795366795,0.00045878844558945494,0.0004726416447929239
computational,0.00018969260655925038,0.00019137716560073035,0.00019552617490281883,0.0002018617687731445,0.00022889999816880002,0.00021621621621621621,0.0003617370436378395,0.00030384105736687965
vector,0.00013941263855559366,0.00021723894473596418,0.0001536277088522148,0.00017401876618374526,0.00037539599699683204,0.00034749034749034747,0.00028233135113197227,0.00018568064616864867
introduce,0.00010970174837161468,0.00011120565028150547,0.0001326784758269128,0.00013457451251542966,0.000384551996923584,0.00033204633204633207,0.0002911542058548464,0.00037136129233729734
bayesian,5.713632727688264e-05,5.948209201103781e-05,5.3536928842438494e-05,4.872525453144867e-05,0.00047611199619110404,0.0004942084942084942,0.0004499655908665808,0.00021944076365385752
estimator,0.0001531253571020455,0.00012930889567616915,0.00019785386746118573,0.00026682877481507607,0.00021058799831529603,0.00033976833976833977,0.0002382170775176016,0.00030384105736687965
